64,429,64
678,429,481.5495821
687,430,558.494703
697,430,596.1455359
708,429,620.1325665
724,429,638.6180392
741,429,654.2257147
756,429,667.7962826
767,429,679.5344812
774,429,689.5636301
773,429,697.5612713
762,429,703.1567511
747,429,706.6258938
731,429,708.3947144
714,429,708.7697793
698,428,708.101467
684,429,706.706487
677,429,705.0889621
677,429,703.6385511
675,428,702.2343626
679,429,701.1454234
685,429,700.4196145
690,429,699.969813
693,429,699.6807903
689,428,699.2566911
676,428,698.376524
648,428,696.5756985
607,428,693.5758018
557,429,689.3169032
501,429,683.8756466
446,428,677.5071241
394,427,670.464601
349,427,663.0172081
315,427,655.4243125
290,426,647.8504016
271,426,640.3839126
256,426,633.0712782
249,426,625.9904363
254,427,619.2499392
269,426,612.9378027
295,427,607.167253
331,428,602.0658088
366,428,597.6358851
399,428,593.8597363
427,429,590.6640707
455,429,588.0477465
480,429,585.9563378
503,429,584.3482124
531,430,583.3082463
564,429,582.9283489
599,430,583.247736
628,430,584.1406904
651,429,585.4728616
668,430,587.1065743
678,429,588.8844153
684,429,590.7172245
681,429,592.4197184
671,429,593.8626481
656,429,594.9698896
640,429,595.748283
628,429,596.2910638
620,429,596.6809408
618,429,597.0252846
623,429,597.4398244
638,429,598.0846608
656,429,599.003946
673,430,600.1754346
683,429,601.4760765
681,429,602.7035347
673,429,603.7653991
658,429,604.5630479
639,429,605.0547611
613,429,605.1643046
584,428,604.8832364
550,429,604.1842545
516,429,603.1076538
486,429,601.7328656
459,429,600.1178196
437,428,598.3309909
414,428,596.378592
395,428,594.308593
386,428,592.2097416
387,428,590.1621586
393,428,588.2038135
413,428,586.4469486
439,428,584.9460619
472,429,583.7719894
506,429,582.9465027
535,429,582.4297035
562,428,582.2066453
585,429,582.2374143
606,429,582.5009143
618,429,582.8941234
625,429,583.3580522
629,429,583.8570752
635,429,584.412882
639,429,585.0016213
644,429,585.6336617
647,429,586.2856373
651,429,586.9680996
652,429,587.6472556
647,429,588.2582133
628,429,588.6569542
594,428,588.7085605
549,429,588.3430243
499,428,587.5636457
448,428,586.4130948
